Institution,Location,State,Type,Nickname,Conference,Primary conference
"University at Albany, SUNY 
(Albany)",Albany,New York,State,Great Danes,America East Conference,America East Conference
Binghamton University,Binghamton,New York,State,Bearcats,America East Conference,America East Conference
Bryant University,Smithfield,Rhode Island,Private/Nonsectarian,Bulldogs,America East Conference,America East Conference
University of New Hampshire,Durham,New Hampshire,State,Wildcats,America East Conference,America East Conference
"New Jersey Institute of Technology
(NJIT)",Newark,New Jersey,State,Highlanders,America East Conference,America East Conference
"University of Massachusetts Lowell 
(UMass Lowell)",Lowell,Massachusetts,State,River Hawks,America East Conference,America East Conference
"University of Maryland, Baltimore County 
(UMBC)",Catonsville,Maryland,State,Retrievers,America East Conference,America East Conference
University of Vermont,Burlington,Vermont,State,Catamounts,America East Conference,America East Conference
"University of North Carolina at Charlotte
(Charlotte)",Charlotte,North Carolina,State,49ers,American Athletic Conference,American Athletic Conference
"Florida Atlantic University
(FAU)",Boca Raton,Florida,State,Owls,American Athletic Conference,American Athletic Conference
"Florida International University
(FIU)",University Park,Florida,State,Panthers,American Athletic Conference,Conference USA
University of Memphis,Memphis,Tennessee,State,Tigers,American Athletic Conference,American Athletic Conference
"Southern Methodist University
(SMU)",Dallas,Texas,Private/Methodist,Mustangs,American Athletic Conference,American Athletic Conference
University of South Florida,Tampa,Florida,State,Bulls,American Athletic Conference,American Athletic Conference
Temple University,Philadelphia,Pennsylvania,State-related,Owls,American Athletic Conference,American Athletic Conference
University of Tulsa,Tulsa,Oklahoma,Private/Presbyterian,Golden Hurricane,American Athletic Conference,American Athletic Conference
"University of Alabama at Birmingham
(UAB)",Birmingham,Alabama,State,Blazers,American Athletic Conference,American Athletic Conference
"University of Central Florida
(UCF)",Orlando,Florida,State,Knights,Sun Belt Conference,Big 12
Bellarmine University,Louisville,Kentucky,Private/Catholic,Knights,ASUN Conference,ASUN Conference
University of Central Arkansas,Conway,Arkansas,State,Bears,ASUN Conference,ASUN Conference
"Florida Gulf Coast University
(FGCU)",Fort Myers,Florida,State,Eagles,ASUN Conference,ASUN Conference
Jacksonville University,Jacksonville,Florida,Private/Nonsectarian,Dolphins,ASUN Conference,ASUN Conference
Liberty University,Lynchburg,Virginia,Private/Christian,Flames,Possibly ASUN Conference,Conference USA
Lipscomb University,Nashville,Tennessee,Private/Churches of Christ,Bisons,ASUN Conference,ASUN Conference
University of North Florida,Jacksonville,Florida,State,Ospreys,ASUN Conference,ASUN Conference
"Queens University of Charlotte
[Queens (NC)]",Charlotte,North Carolina,Private/Presbyterian,Royals,ASUN Conference,ASUN Conference
Stetson University,DeLand,Florida,Private/Nonsectarian,Hatters,ASUN Conference,ASUN Conference
Davidson College,Davidson,North Carolina,Private/Presbyterian,Wildcats,Atlantic 10 Conference,Atlantic 10 Conference
University of Dayton,Dayton,Ohio,Private/Catholic,Flyers,Atlantic 10 Conference,Atlantic 10 Conference
Duquesne University,Pittsburgh,Pennsylvania,Private/Catholic,Dukes,Atlantic 10 Conference,Atlantic 10 Conference
Fordham University,"The Bronx, New York City",New York,Private/Catholic,Rams,Atlantic 10 Conference,Atlantic 10 Conference
George Mason University,Fairfax,Virginia,State,Patriots,Atlantic 10 Conference,Atlantic 10 Conference
George Washington University,Washington,D.C.,Private/Nonsectarian,Colonials,Atlantic 10 Conference,Atlantic 10 Conference
La Salle University,Philadelphia,Pennsylvania,Private/Catholic,Explorers,Atlantic 10 Conference,Atlantic 10 Conference
Loyola University Chicago,Chicago,Illinois,Private/Catholic,Ramblers,Atlantic 10 Conference,Atlantic 10 Conference
"University of Massachusetts Amherst 
(UMass)",Amherst,Massachusetts,State,Minutemen,Atlantic 10 Conference,Atlantic 10 Conference
University of Rhode Island,Kingston,Rhode Island,State,Rams,Atlantic 10 Conference,Atlantic 10 Conference
St. Bonaventure University,Allegany,New York,Private/Catholic,Bonnies,Atlantic 10 Conference,Atlantic 10 Conference
Saint Joseph's University,Philadelphia,Pennsylvania,Private/Catholic,Hawks,Atlantic 10 Conference,Atlantic 10 Conference
Saint Louis University,St. Louis,Missouri,Private/Catholic,Billikens,Atlantic 10 Conference,Atlantic 10 Conference
"Virginia Commonwealth University
(VCU)",Richmond,Virginia,State,Rams,Atlantic 10 Conference,Atlantic 10 Conference
Boston College,Chestnut Hill,Massachusetts,Private/Catholic,Eagles,Atlantic Coast Conference,Atlantic Coast Conference
Clemson University,Clemson,South Carolina,State,Tigers,Atlantic Coast Conference,Atlantic Coast Conference
Duke University,Durham,North Carolina,Private/Nonsectarian,Blue Devils,Atlantic Coast Conference,Atlantic Coast Conference
University of Louisville,Louisville,Kentucky,State,Cardinals,Atlantic Coast Conference,Atlantic Coast Conference
"University of North Carolina at Chapel Hill
(North Carolina)",Chapel Hill,North Carolina,State,Tar Heels,Atlantic Coast Conference,Atlantic Coast Conference
North Carolina State University,Raleigh,North Carolina,State,Wolfpack,Atlantic Coast Conference,Atlantic Coast Conference
University of Notre Dame,South Bend,Indiana,Private/Catholic,Fighting Irish,Atlantic Coast Conference,Atlantic Coast Conference
"University of Pittsburgh
(Pitt)",Pittsburgh,Pennsylvania,State-related,Panthers,Atlantic Coast Conference,Atlantic Coast Conference
Syracuse University,Syracuse,New York,Private/Methodist,Orange,Atlantic Coast Conference,Atlantic Coast Conference
University of Virginia,Charlottesville,Virginia,State,Cavaliers,Atlantic Coast Conference,Atlantic Coast Conference
"Virginia Polytechnic Institute
and State University
(Virginia Tech)",Blacksburg,Virginia,State,Hokies,Atlantic Coast Conference,Atlantic Coast Conference
Wake Forest University,Winston-Salem,North Carolina,Private/Nonsectarian,Demon Deacons,Atlantic Coast Conference,Atlantic Coast Conference
University of Akron,Akron,Ohio,State,Zips,Big East Conference,Mid-American Conference
Butler University,Indianapolis,Indiana,Private/Nonsectarian,Bulldogs,Big East Conference,Big East Conference
Creighton University,Omaha,Nebraska,Private/Catholic,Bluejays,Big East Conference,Big East Conference
DePaul University,Chicago,Illinois,Private/Catholic,Blue Demons,Big East Conference,Big East Conference
Georgetown University,Washington,D.C.,Private/Catholic,Hoyas,Big East Conference,Big East Conference
Marquette University,Milwaukee,Wisconsin,Private/Catholic,Golden Eagles,Big East Conference,Big East Conference
Providence College,Providence,Rhode Island,Private/Catholic,Friars,Big East Conference,Big East Conference
St. John's University,"Queens, New York City",New York,Private/Catholic,Red Storm,Big East Conference,Big East Conference
Seton Hall University,South Orange,New Jersey,Private/Catholic,Pirates,Big East Conference,Big East Conference
"University of Connecticut 
(UConn)",Storrs,Connecticut,State,Huskies,Big East Conference,Big East Conference
Villanova University,Radnor Township,Pennsylvania,Private/Catholic,Wildcats,Big East Conference,Big East Conference
Xavier University,Cincinnati,Ohio,Private/Catholic,Musketeers,Big East Conference,Big East Conference
Campbell University,Buies Creek,North Carolina,Private/Baptist,Fighting Camels,Colonial Athletic Association,Colonial Athletic Association
Gardner–Webb University,Boiling Springs,North Carolina,Private/Baptist,Runnin' Bulldogs,Big South Conference,Big South Conference
High Point University,High Point,North Carolina,Private/Methodist,Panthers,Big South Conference,Big South Conference
Longwood University,Farmville,Virginia,State,Lancers,Big South Conference,Big South Conference
Presbyterian College,Clinton,South Carolina,Private/Presbyterian,Blue Hose,Big South Conference,Big South Conference
Radford University,Radford,Virginia,State,Highlanders,Big South Conference,Big South Conference
"University of North Carolina at Asheville
(UNC Asheville)",Asheville,North Carolina,State,Bulldogs,Big South Conference,Big South Conference
"University of South Carolina Upstate
(USC Upstate)",Spartanburg,South Carolina,State,Spartans,Big South Conference,Big South Conference
Winthrop University,Rock Hill,South Carolina,State,Eagles,Big South Conference,Big South Conference
"Indiana University Bloomington
(Indiana)",Bloomington,Indiana,State,Hoosiers,Big Ten Conference,Big Ten Conference
"University of Maryland, College Park
(Maryland)",College Park,Maryland,State,Terrapins,Big Ten Conference,Big Ten Conference
University of Michigan,Ann Arbor,Michigan,State,Wolverines,Big Ten Conference,Big Ten Conference
Michigan State University,East Lansing,Michigan,State,Spartans,Big Ten Conference,Big Ten Conference
Northwestern University,Evanston,Illinois,Private/Nonsectarian,Wildcats,Big Ten Conference,Big Ten Conference
Ohio State University,Columbus,Ohio,State,Buckeyes,Big Ten Conference,Big Ten Conference
"Pennsylvania State University
(Penn State)",State College,Pennsylvania,State-related,Nittany Lions,Big Ten Conference,Big Ten Conference
"Rutgers University–New Brunswick
(Rutgers)",New Brunswick,New Jersey,State-private hybrid,Scarlet Knights,Big Ten Conference,Big Ten Conference
"University of Wisconsin–Madison
(Wisconsin)",Madison,Wisconsin,State,Badgers,Big Ten Conference,Big Ten Conference
"California Polytechnic State University
(Cal Poly)",San Luis Obispo,California,State,Mustangs,Big West Conference,Big West Conference
"California State University, Bakersfield
(Cal State Bakersfield/CSUB)",Bakersfield,California,State,Roadrunners,Big West Conference,Big West Conference
"California State University, Fullerton
(Cal State Fullerton)",Fullerton,California,State,Titans,Big West Conference,Big West Conference
"California State University, Northridge
(Cal State Northridge/CSUN)","Northridge, Los Angeles",California,State,Matadors,Big West Conference,Big West Conference
"California State University, Sacramento
(Sacramento State)",Sacramento,California,State,Hornets,Big West Conference,Big Sky Conference
"University of California, Davis
(UC Davis)",Davis,California,State,Aggies,Big West Conference,Big West Conference
"University of California, Irvine
(UC Irvine)",Irvine,California,State,Anteaters,Big West Conference,Big West Conference
"University of California, Riverside
(UC Riverside)",Riverside,California,State,Highlanders,Big West Conference,Big West Conference
"University of California, San Diego
(UC San Diego/UCSD)","La Jolla, San Diego",California,State,Tritons,Big West Conference,Big West Conference
"University of California, Santa Barbara
(UC Santa Barbara)",Santa Barbara,California,State,Gauchos,Big West Conference,Big West Conference
College of Charleston (Charleston),Charleston,South Carolina,State,Cougars,Colonial Athletic Association,Colonial Athletic Association
University of Delaware,Newark,Delaware,Private-state hybrid,Fightin' Blue Hens,Colonial Athletic Association,Colonial Athletic Association
Drexel University,Philadelphia,Pennsylvania,Private/Nonsectarian,Dragons,Colonial Athletic Association,Colonial Athletic Association
Elon University,Elon,North Carolina,Private/Nonsectarian,Phoenix,Colonial Athletic Association,Colonial Athletic Association
Hofstra University,Hempstead,New York,Private/Nonsectarian,Pride,Colonial Athletic Association,Colonial Athletic Association
Monmouth University,West Long Branch,New Jersey,Private/Nonsectarian,Hawks,Colonial Athletic Association,Colonial Athletic Association
Northeastern University,Boston,Massachusetts,Private/Nonsectarian,Huskies,Colonial Athletic Association,Colonial Athletic Association
Stony Brook University,Stony Brook,New York,State,Seawolves,Colonial Athletic Association,Colonial Athletic Association
"University of North Carolina Wilmington
(UNC Wilmington/UNCW)",Wilmington,North Carolina,State,Seahawks,Colonial Athletic Association,Colonial Athletic Association
"College of William & Mary
(William & Mary)",Williamsburg,Virginia,State,Tribe,Colonial Athletic Association,Colonial Athletic Association
Cleveland State University,Cleveland,Ohio,State,Vikings,Horizon League,Horizon League
University of Detroit Mercy,Detroit,Michigan,Private/Catholic,Titans,Horizon League,Horizon League
"University of Wisconsin–Green Bay
(Green Bay)",Green Bay,Wisconsin,State,Phoenix,Horizon League,Horizon League
"Indiana University –
Purdue University Indianapolis
(IUPUI)",Indianapolis,Indiana,State,Jaguars,Horizon League,Horizon League
"University of Wisconsin–Milwaukee
(Milwaukee)",Milwaukee,Wisconsin,State,Panthers,Horizon League,Horizon League
Northern Kentucky University,Highland Heights,Kentucky,State,Norse,Horizon League,Horizon League
Oakland University,Auburn Hills & Rochester Hills,Michigan,State,Golden Grizzlies,Horizon League,Horizon League
"Purdue University Fort Wayne
(Purdue Fort Wayne)",Fort Wayne,Indiana,State,Mastodons,Horizon League,Horizon League
Robert Morris University,Moon Township,Pennsylvania,Private/Nonsectarian,Colonials,Horizon League,Horizon League
Wright State University,Fairborn,Ohio,State,Raiders,Horizon League,Horizon League
Chicago State University,Chicago,Illinois,State,Cougars,Independent,Independent
University of the Incarnate Word,San Antonio & Alamo Heights,Texas,Private/Catholic,Cardinals,Independent,Southland Conference
Brown University,Providence,Rhode Island,Private/Nonsectarian,Bears,Ivy League,Ivy League
Columbia University,New York City,New York,Private/Nonsectarian,Lions,Ivy League,Ivy League
Cornell University,Ithaca,New York,Private/Statutory state,Big Red,Ivy League,Ivy League
Dartmouth College,Hanover,New Hampshire,Private/Nonsectarian,Big Green,Ivy League,Ivy League
Harvard University,Boston,Massachusetts,Private/Nonsectarian,Crimson,Ivy League,Ivy League
Princeton University,Princeton,New Jersey,Private/Nonsectarian,Tigers,Ivy League,Ivy League
"University of Pennsylvania
(Penn)",Philadelphia,Pennsylvania,Private/Nonsectarian,Quakers,Ivy League,Ivy League
Yale University,New Haven,Connecticut,Private/Nonsectarian,Bulldogs,Ivy League,Ivy League
Canisius College,Buffalo,New York,Private/Catholic,Golden Griffins,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Fairfield University,Fairfield,Connecticut,Private/Catholic,Stags,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Iona University,New Rochelle,New York,Private/Catholic,Gaels,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Manhattan College,"The Bronx, New York City",New York,Private/Catholic,Jaspers,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Marist College,Poughkeepsie,New York,Private/Catholic,Red Foxes,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Mount St. Mary's University,Emmitsburg,Maryland,Private/Catholic,Mountaineers / The Mount,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Niagara University,Lewiston,New York,Private/Catholic,Purple Eagles,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Quinnipiac University,Hamden,Connecticut,Private/Nonsectarian,Bobcats,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Rider University,Lawrenceville,New Jersey,Private/Nonsectarian,Broncs,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Saint Peter's University,Jersey City,New Jersey,Private/Catholic,Peacocks,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Siena College,Loudonville,New York,Private/Catholic,Saints,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Belmont University,Nashville,Tennessee,Private/Christian,Bruins,Missouri Valley Conference,Missouri Valley Conference
Bowling Green State University,Bowling Green,Ohio,State,Falcons,Missouri Valley Conference,Mid-American Conference
Bradley University,Peoria,Illinois,Private/Nonsectarian,Braves,Missouri Valley Conference,Missouri Valley Conference
Drake University,Des Moines,Iowa,Private/Nonsectarian,Bulldogs,Missouri Valley Conference,Missouri Valley Conference
University of Evansville,Evansville,Indiana,Private/Methodist,Purple Aces,Missouri Valley Conference,Missouri Valley Conference
Missouri State University,Springfield,Missouri,State,Bears,Missouri Valley Conference,Missouri Valley Conference
"Northern Illinois University
(NIU)",DeKalb,Illinois,State,Huskies,Missouri Valley Conference,Mid-American Conference
"Southern Illinois University Edwardsville
(SIU Edwardsville/SIUE)",Edwardsville,Illinois,State,Cougars,Missouri Valley Conference,Ohio Valley Conference
"University of Illinois Chicago
(UIC)",Chicago,Illinois,State,Flames,Missouri Valley Conference,Missouri Valley Conference
Western Michigan University,Kalamazoo,Michigan,State,Broncos,Missouri Valley Conference,Mid-American Conference
Central Connecticut State University,New Britain,Connecticut,State,Blue Devils,Northeast Conference,Northeast Conference
Fairleigh Dickinson University,Madison & Florham Park,New Jersey,Private/Nonsectarian,Knights,Northeast Conference,Northeast Conference
Howard University,Washington,D.C.,Private/Nonsectarian,Bison,Northeast Conference,Mid-Eastern Athletic Conference
"Long Island University
(LIU)",Brookville,New York,Private/Nonsectarian,Sharks,Northeast Conference,Northeast Conference
Merrimack College,North Andover,Massachusetts,Private/Catholic,Warriors,Northeast Conference,Northeast Conference
Sacred Heart University,Fairfield,Connecticut,Private/Catholic,Pioneers,Northeast Conference,Northeast Conference
"St. Francis College
(St. Francis Brooklyn)","Brooklyn, New York City",New York,Private/Catholic,Terriers,Northeast Conference,Northeast Conference
"Saint Francis University
(Saint Francis (PA))",Loretto,Pennsylvania,Private/Catholic,Red Flash,Northeast Conference,Northeast Conference
Stonehill College,Easton,Massachusetts,Private/Catholic,Skyhawks,Northeast Conference,Northeast Conference
"University of California, Berkeley
(California/Cal)",Berkeley,California,State,Golden Bears,Pac-12 Conference,Pac-12 Conference
Oregon State University,Corvallis,Oregon,State,Beavers,Pac-12 Conference,Pac-12 Conference
San Diego State University,San Diego,California,State,Aztecs,Pac-12 Conference,Mountain West Conference
Stanford University,Stanford,California,Private/Nonsectarian,Cardinal,Pac-12 Conference,Pac-12 Conference
"University of California, Los Angeles
(UCLA)",Los Angeles,California,State,Bruins,Pac-12 Conference,Pac-12 Conference
University of Washington,Seattle,Washington,State,Huskies,Pac-12 Conference,Pac-12 Conference
American University,Washington,D.C.,Private/Methodist,Eagles,Patriot League,Patriot League
"United States Military Academy
(Army/West Point)",West Point,New York,Federal academy,Black Knights,Patriot League,Patriot League
Boston University,Boston,Massachusetts,Private/Methodist,Terriers,Patriot League,Patriot League
Bucknell University,Lewisburg,Pennsylvania,Private/Nonsectarian,Bison,Patriot League,Patriot League
Colgate University,Hamilton,New York,Private/Nonsectarian,Raiders,Patriot League,Patriot League
College of the Holy Cross,Worcester,Massachusetts,Private/Catholic,Crusaders,Patriot League,Patriot League
Lafayette College,Easton,Pennsylvania,Private/Presbyterian,Leopards,Patriot League,Patriot League
Lehigh University,Bethlehem,Pennsylvania,Private/Nonsectarian,Mountain Hawks,Patriot League,Patriot League
Loyola University Maryland,Baltimore,Maryland,Private/Catholic,Greyhounds,Patriot League,Patriot League
"United States Naval Academy
(Navy/Annapolis)",Annapolis,Maryland,Federal academy,Midshipmen,Patriot League,Patriot League
"East Tennessee State University
(ETSU)",Johnson City,Tennessee,State,Buccaneers,Southern Conference,Southern Conference
Furman University,Greenville,South Carolina,Private/Nonsectarian,Paladins,Southern Conference,Southern Conference
Mercer University,Macon,Georgia,Private/Nonsectarian,Bears,Southern Conference,Southern Conference
"University of North Carolina at Greensboro
(UNC Greensboro)",Greensboro,North Carolina,State,Spartans,Southern Conference,Southern Conference
"Virginia Military Institute
(VMI)",Lexington,Virginia,State,Keydets,Southern Conference,Southern Conference
Wofford College,Spartanburg,South Carolina,Private/Methodist,Terriers,Southern Conference,Southern Conference
University of Denver,Denver,Colorado,Private/Nonsectarian,Pioneers,The Summit League,The Summit League
Eastern Illinois University,Charleston,Illinois,State,Panthers,The Summit League,Ohio Valley Conference
"University of Missouri–Kansas City
(Kansas City)",Kansas City,Missouri,State,Roos,The Summit League,The Summit League
Lindenwood University,St. Charles,Missouri,Private/Nonsectarian,Lions,The Summit League,Ohio Valley Conference
"University of Nebraska Omaha
(Omaha)",Omaha,Nebraska,State,Mavericks,The Summit League,The Summit League
Oral Roberts University,Tulsa,Oklahoma,Private/Christian,Golden Eagles,The Summit League,The Summit League
University of St. Thomas,Saint Paul,Minnesota,Private/Catholic,Tommies,The Summit League,The Summit League
University of Southern Indiana,Evansville,Indiana,Public,Screaming Eagles,The Summit League,Ohio Valley Conference
Western Illinois University,Macomb,Illinois,State,Leathernecks,The Summit League,The Summit League
Coastal Carolina University,Conway,South Carolina,State,Chanticleers,Sun Belt Conference,Sun Belt Conference
Georgia Southern University,Statesboro,Georgia,State,Eagles,Sun Belt Conference,Sun Belt Conference
Georgia State University,Atlanta,Georgia,State,Panthers,Sun Belt Conference,Sun Belt Conference
James Madison University,Harrisonburg,Virginia,State,Dukes,Sun Belt Conference,Sun Belt Conference
University of Kentucky,Lexington,Kentucky,State,Wildcats,Sun Belt Conference,Southeastern Conference
Marshall University,Huntington,West Virginia,State,Thundering Herd,Sun Belt Conference,Sun Belt Conference
Old Dominion University,Norfolk,Virginia,State,Monarchs,Sun Belt Conference,Sun Belt Conference
University of South Carolina,Columbia,South Carolina,State,Gamecocks,Sun Belt Conference,Southeastern Conference
West Virginia University,Morgantown,West Virginia,State,Mountaineers,Sun Belt Conference,Big 12 Conference
Gonzaga University,Spokane,Washington,Private/Catholic,Bulldogs,West Coast Conference,West Coast Conference
Loyola Marymount University,Los Angeles,California,Private/Catholic,Lions,West Coast Conference,West Coast Conference
University of the Pacific,Stockton,California,Private/Methodist,Tigers,West Coast Conference,West Coast Conference
University of Portland,Portland,Oregon,Private/Catholic,Pilots,West Coast Conference,West Coast Conference
Saint Mary's College of California,Moraga,California,Private/Catholic,Gaels,West Coast Conference,West Coast Conference
University of San Diego,San Diego,California,Private/Catholic,Toreros,West Coast Conference,West Coast Conference
University of San Francisco,San Francisco,California,Private/Catholic,Dons,West Coast Conference,West Coast Conference
Santa Clara University,Santa Clara,California,Private/Catholic,Broncos,West Coast Conference,West Coast Conference
"United States Air Force Academy
(Air Force)",Colorado Springs,Colorado,Federal academy,Falcons,Western Athletic Conference,Mountain West Conference
California Baptist University,Riverside,California,Private/Baptist,Lancers,Western Athletic Conference,Western Athletic Conference
Grand Canyon University,Phoenix,Arizona,Private/Christian,Antelopes,Western Athletic Conference,Western Athletic Conference
Houston Christian University,Houston,Texas,Private/Baptist,Huskies,Western Athletic Conference,Southland Conference
San Jose State University,San Jose,California,State,Spartans,Western Athletic Conference,Mountain West Conference
Seattle University,Seattle,Washington,Private/Catholic,Redhawks,Western Athletic Conference,Western Athletic Conference
"University of Nevada, Las Vegas
(UNLV)",Paradise,Nevada,State,Rebels,Western Athletic Conference,Mountain West Conference
Utah Tech University,St. George,Utah,State,Trailblazers,Western Athletic Conference,Western Athletic Conference
Utah Valley University,Orem,Utah,State,Wolverines,Western Athletic Conference,Western Athletic Conference
"University of Texas Rio Grande Valley
(UTRGV)",Edinburg,Texas,State,Vaqueros,Western Athletic Conference,Western Athletic Conference
